id,issue_type,complaint_text,area,votes,attachments,priority_label
453,Drainage Blockage,Drainage issue,Hazaribagh,71,5,High
454,Electricity Outage,No electricity since morning,Hazaribagh,81,2,High
455,Streetlight Not Working,Light not working,Bokaro,19,4,High
456,Drainage Blockage,dirty water overflow,Ranchi,87,1,High
457,Illegal Parking,illegal gaadi parking,Bokaro,94,0,Medium
458,Public Toilet Issue,Public toilet problem,Hazaribagh,85,2,High
459,Garbage Dump,kachra bahut hai,Hazaribagh,60,1,High
460,Streetlight Not Working,Streetlight issue,Hazaribagh,45,1,Medium
461,Electricity Outage,Power cut in area,Chaibasa,59,0,High
462,Garbage Dump,ganda kachra near market,Jamshedpur,60,1,Medium
463,Water Leakage,pipe se pani nikal raha hai,Deoghar,17,1,Medium
464,Water Leakage,Pipeline burst,Dhanbad,40,5,High
465,Pothole,Road broken badly,Hazaribagh,0,3,High
466,Public Toilet Issue,toilet band hai,Dhanbad,100,0,High
467,Illegal Parking,illegal gaadi parking,Bokaro,0,0,Low
468,Road Damage,Sadak kharab hai,Ranchi,24,0,Medium
469,Garbage Dump,kachra bahut hai,Hazaribagh,49,4,High
470,Public Toilet Issue,toilet band hai,Deoghar,93,4,High
471,Public Toilet Issue,toilet band hai,Dhanbad,45,1,Low
472,Streetlight Not Working,Light not working,Dhanbad,93,0,High
473,Electricity Outage,Power cut in area,Ranchi,98,4,High
474,Garbage Dump,Overflowing garbage,Giridih,53,3,Medium
475,Pothole,pothol road broken hai,Jamshedpur,38,3,High
476,Garbage Dump,Garbage not collected,Jamshedpur,65,5,Medium
477,Streetlight Not Working,bulb kharab,Bokaro,99,2,Medium
478,Streetlight Not Working,Street dark at night,Deoghar,88,3,Medium
479,Noise Pollution,Loud noise,Dhanbad,85,3,High
480,Electricity Outage,No electricity since morning,Chaibasa,82,1,High
481,Pothole,khadda on street,Deoghar,37,2,High
482,Pothole,pothol road broken hai,Dhanbad,1,1,Medium
483,Garbage Dump,Overflowing garbage,Dhanbad,47,2,Low
484,Illegal Parking,no parking followed,Giridih,88,3,High
485,Water Leakage,pipe se pani nikal raha hai,Chaibasa,13,3,High
486,Pothole,khadda on street,Dhanbad,87,5,High
487,Pothole,Big pothole on road,Deoghar,8,2,High
488,Noise Pollution,Noise disturbing area,Bokaro,92,4,High
489,Illegal Parking,Blocking road,Bokaro,84,5,High
490,Road Damage,Sadak kharab hai,Ranchi,78,0,High
491,Water Leakage,Water leakage near colony,Deoghar,9,3,High
492,Road Damage,Sadak kharab hai,Giridih,82,3,High
493,Garbage Dump,Overflowing garbage,Deoghar,63,3,Medium
494,Illegal Parking,Cars parked illegally,Ranchi,4,4,Medium
495,Road Damage,road crack,Chaibasa,71,1,High
496,Public Toilet Issue,smelly toilet,Chaibasa,42,4,High
497,Streetlight Not Working,bulb kharab,Deoghar,0,2,Medium
498,Water Leakage,Pipeline burst,Giridih,63,1,High
499,Illegal Parking,illegal gaadi parking,Bokaro,27,3,High
500,Noise Pollution,DJ loud hai,Chaibasa,15,3,High
501,Road Damage,Sadak kharab hai,Chaibasa,55,4,Medium
502,Garbage Dump,ganda kachra near market,Deoghar,49,5,Medium
503,Streetlight Not Working,bulb kharab,Deoghar,35,3,Medium
504,Road Damage,Sadak kharab hai,Deoghar,38,5,High
505,Drainage Blockage,Drainage issue,Dhanbad,86,1,High
506,Noise Pollution,Noise disturbing area,Giridih,73,5,Low
507,Pothole,Big pothole on road,Ranchi,48,1,Low
508,Electricity Outage,Power cut in area,Dhanbad,87,2,High
509,Pothole,Road broken badly,Jamshedpur,45,3,High
510,Electricity Outage,power outage,Ranchi,88,5,High
511,Drainage Blockage,Drainage issue,Ranchi,70,0,High
512,Public Toilet Issue,Public toilet problem,Deoghar,28,5,High
513,Water Leakage,Water leakage near colony,Dhanbad,87,0,Medium
514,Road Damage,road crack,Dhanbad,33,1,Medium
515,Pothole,pothol road broken hai,Ranchi,19,2,Medium
516,Drainage Blockage,Drain blocked,Dhanbad,67,1,High
517,Illegal Parking,no parking followed,Bokaro,11,2,Low
518,Noise Pollution,Loud noise,Ranchi,67,3,Medium
519,Noise Pollution,Noise disturbing area,Ranchi,79,1,High
520,Electricity Outage,Power cut in area,Hazaribagh,69,5,High
521,Road Damage,road crack,Ranchi,57,3,Medium
522,Garbage Dump,Overflowing garbage,Ranchi,21,4,Medium
523,Illegal Parking,Cars parked illegally,Giridih,13,1,Low
524,Drainage Blockage,Drain blocked,Jamshedpur,4,0,High
525,Streetlight Not Working,Streetlight issue,Giridih,33,3,High
526,Garbage Dump,Overflowing garbage,Jamshedpur,68,0,High
527,Garbage Dump,Overflowing garbage,Hazaribagh,37,5,Medium
528,Pothole,Road broken badly,Bokaro,60,1,High
529,Electricity Outage,No electricity since morning,Hazaribagh,81,1,High
530,Water Leakage,pipe se pani nikal raha hai,Ranchi,15,0,High
531,Drainage Blockage,Nali jam hai,Dhanbad,27,3,High
532,Garbage Dump,ganda kachra near market,Ranchi,23,5,High
533,Electricity Outage,No electricity since morning,Chaibasa,12,1,High
534,Electricity Outage,No electricity since morning,Bokaro,79,0,High
535,Noise Pollution,Noise disturbing area,Deoghar,19,4,Medium
536,Streetlight Not Working,bulb kharab,Giridih,91,5,High
537,Public Toilet Issue,smelly toilet,Deoghar,59,3,Medium
538,Garbage Dump,Garbage not collected,Bokaro,35,1,High
539,Pothole,khadda on street,Ranchi,64,5,Medium
540,Road Damage,road crack,Dhanbad,69,3,High
541,Electricity Outage,power outage,Jamshedpur,17,3,High
542,Noise Pollution,high sound pollution,Dhanbad,87,1,High
543,Water Leakage,leakage of pani,Chaibasa,94,5,High
544,Electricity Outage,Bijli chali gayi,Ranchi,47,1,High
545,Public Toilet Issue,Toilet unclean,Deoghar,5,0,Medium
546,Electricity Outage,power outage,Dhanbad,74,4,High
547,Garbage Dump,kachra bahut hai,Giridih,66,2,Medium
548,Public Toilet Issue,Public toilet problem,Ranchi,61,4,Medium
549,Electricity Outage,Bijli chali gayi,Dhanbad,27,1,High
550,Streetlight Not Working,Streetlight issue,Jamshedpur,53,2,High
551,Illegal Parking,no parking followed,Ranchi,2,1,Medium
552,Pothole,Road broken badly,Ranchi,73,1,Medium
553,Noise Pollution,Noise disturbing area,Ranchi,72,5,Medium
554,Public Toilet Issue,toilet band hai,Bokaro,61,1,High
555,Water Leakage,Water leakage near colony,Hazaribagh,79,5,High
556,Noise Pollution,high sound pollution,Giridih,8,1,High
557,Road Damage,Road damaged,Dhanbad,87,3,High
558,Road Damage,bad road condition,Jamshedpur,64,0,Medium
559,Pothole,khadda on street,Giridih,99,5,High
560,Streetlight Not Working,Light not working,Deoghar,61,3,Medium
561,Garbage Dump,Garbage not collected,Giridih,36,4,Medium
562,Noise Pollution,high sound pollution,Ranchi,66,0,Medium
563,Drainage Blockage,Drainage issue,Giridih,13,1,High
564,Noise Pollution,DJ loud hai,Giridih,35,5,High
565,Drainage Blockage,Drainage issue,Chaibasa,71,4,High
566,Illegal Parking,no parking followed,Jamshedpur,94,1,High
567,Streetlight Not Working,Light not working,Deoghar,65,3,Low
568,Water Leakage,Pipeline burst,Giridih,60,4,High
569,Pothole,pothol road broken hai,Giridih,92,3,High
570,Water Leakage,Pipeline burst,Chaibasa,81,3,High
571,Electricity Outage,Bijli chali gayi,Bokaro,24,0,Medium
572,Water Leakage,leakage of pani,Giridih,11,2,High
573,Pothole,Big pothole on road,Jamshedpur,94,5,High
574,Noise Pollution,DJ loud hai,Hazaribagh,44,2,Low
575,Noise Pollution,high sound pollution,Dhanbad,0,2,Medium
576,Drainage Blockage,Drainage issue,Hazaribagh,14,4,High
577,Streetlight Not Working,Streetlight issue,Chaibasa,96,2,High
578,Electricity Outage,Bijli chali gayi,Bokaro,8,3,High
579,Road Damage,Sadak kharab hai,Hazaribagh,1,5,High
580,Drainage Blockage,dirty water overflow,Dhanbad,9,4,High
581,Water Leakage,pipe se pani nikal raha hai,Bokaro,95,5,High
582,Electricity Outage,Bijli chali gayi,Bokaro,26,1,Medium
583,Garbage Dump,Overflowing garbage,Chaibasa,10,5,Medium
584,Drainage Blockage,Drainage issue,Chaibasa,79,2,High
585,Electricity Outage,Power cut in area,Dhanbad,50,1,High
586,Pothole,Road broken badly,Giridih,64,2,High
587,Drainage Blockage,Nali jam hai,Ranchi,88,0,High
588,Electricity Outage,Bijli chali gayi,Hazaribagh,23,4,High
589,Water Leakage,pipe se pani nikal raha hai,Bokaro,63,3,High
590,Electricity Outage,Bijli chali gayi,Dhanbad,57,1,High
591,Road Damage,Sadak kharab hai,Bokaro,55,3,Medium
592,Pothole,Road broken badly,Chaibasa,22,3,High
593,Drainage Blockage,Drainage issue,Hazaribagh,100,3,High
594,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,7,1,High
595,Electricity Outage,No electricity since morning,Hazaribagh,46,2,High
596,Noise Pollution,Noise disturbing area,Dhanbad,25,4,High
597,Public Toilet Issue,toilet band hai,Hazaribagh,10,3,High
598,Drainage Blockage,Drain blocked,Giridih,53,5,High
599,Electricity Outage,No electricity since morning,Giridih,90,2,High
600,Noise Pollution,DJ loud hai,Giridih,66,3,High
601,Electricity Outage,Bijli chali gayi,Jamshedpur,95,5,High
602,Public Toilet Issue,toilet band hai,Ranchi,70,0,High
603,Noise Pollution,Noise disturbing area,Giridih,19,0,Medium
604,Water Leakage,Pipeline burst,Dhanbad,16,4,High
605,Public Toilet Issue,toilet band hai,Hazaribagh,59,4,Medium
606,Noise Pollution,Noise disturbing area,Giridih,76,3,Medium
607,Garbage Dump,ganda kachra near market,Deoghar,56,2,Low
608,Drainage Blockage,dirty water overflow,Ranchi,36,3,Medium
609,Electricity Outage,No electricity since morning,Ranchi,76,1,High
610,Streetlight Not Working,Streetlight issue,Giridih,20,5,High
611,Road Damage,road crack,Hazaribagh,97,4,Medium
612,Streetlight Not Working,bulb kharab,Dhanbad,8,1,Low
613,Noise Pollution,Loud noise,Deoghar,62,1,Low
614,Electricity Outage,Power cut in area,Chaibasa,34,1,High
615,Drainage Blockage,Drainage issue,Chaibasa,53,2,High
616,Water Leakage,Pipeline burst,Giridih,7,2,High
617,Electricity Outage,Bijli chali gayi,Jamshedpur,48,0,High
618,Pothole,Road broken badly,Jamshedpur,25,3,High
619,Drainage Blockage,Drain blocked,Ranchi,20,5,High
620,Pothole,Road broken badly,Jamshedpur,85,1,High
621,Electricity Outage,Bijli chali gayi,Giridih,74,0,High
622,Public Toilet Issue,smelly toilet,Dhanbad,88,4,High
623,Noise Pollution,Loud noise,Ranchi,43,5,High
624,Garbage Dump,Garbage not collected,Bokaro,16,3,High
625,Public Toilet Issue,toilet band hai,Ranchi,93,1,Medium
626,Public Toilet Issue,toilet band hai,Hazaribagh,90,3,Medium
627,Public Toilet Issue,Toilet unclean,Dhanbad,35,4,High
628,Road Damage,bad road condition,Ranchi,46,3,Medium
629,Drainage Blockage,Drainage issue,Bokaro,99,4,High
630,Illegal Parking,no parking followed,Chaibasa,24,4,Medium
631,Garbage Dump,Overflowing garbage,Jamshedpur,12,4,High
632,Streetlight Not Working,Light not working,Bokaro,13,3,Medium
633,Public Toilet Issue,Toilet unclean,Hazaribagh,67,4,Medium
634,Streetlight Not Working,Streetlight issue,Jamshedpur,83,3,High
635,Illegal Parking,illegal gaadi parking,Ranchi,47,5,High
636,Garbage Dump,Overflowing garbage,Jamshedpur,27,4,High
637,Road Damage,bad road condition,Dhanbad,84,1,Medium
638,Public Toilet Issue,Toilet unclean,Giridih,89,5,Medium
639,Drainage Blockage,Drainage issue,Chaibasa,84,1,High
640,Drainage Blockage,Drainage issue,Giridih,52,5,High
641,Road Damage,bad road condition,Deoghar,95,2,High
642,Electricity Outage,No electricity since morning,Dhanbad,76,0,High
643,Drainage Blockage,Nali jam hai,Hazaribagh,2,5,High
644,Electricity Outage,Bijli chali gayi,Bokaro,46,4,High
645,Noise Pollution,Noise disturbing area,Jamshedpur,27,5,Medium
646,Noise Pollution,Loud noise,Hazaribagh,12,4,Medium
647,Pothole,khadda on street,Deoghar,98,2,High
648,Streetlight Not Working,Streetlight issue,Ranchi,95,5,Medium
649,Noise Pollution,DJ loud hai,Bokaro,19,2,Medium
650,Public Toilet Issue,Public toilet problem,Jamshedpur,96,4,Medium
651,Drainage Blockage,dirty water overflow,Ranchi,10,3,High
652,Water Leakage,Water leakage near colony,Chaibasa,97,1,High
653,Noise Pollution,DJ loud hai,Bokaro,94,4,High
654,Noise Pollution,high sound pollution,Giridih,11,0,Medium
655,Pothole,pothol road broken hai,Dhanbad,98,2,High
656,Water Leakage,Water leakage near colony,Bokaro,56,0,High
657,Garbage Dump,kachra bahut hai,Ranchi,14,5,High
658,Electricity Outage,No electricity since morning,Jamshedpur,1,2,High
659,Road Damage,bad road condition,Hazaribagh,27,1,Low
660,Pothole,pothol road broken hai,Ranchi,48,4,Medium
661,Noise Pollution,Loud noise,Chaibasa,34,0,Medium
662,Drainage Blockage,dirty water overflow,Hazaribagh,13,0,High
663,Garbage Dump,kachra bahut hai,Jamshedpur,40,3,Medium
664,Pothole,pothol road broken hai,Hazaribagh,5,1,High
665,Drainage Blockage,Nali jam hai,Hazaribagh,45,5,High
666,Pothole,Big pothole on road,Giridih,80,2,High
667,Drainage Blockage,Drain blocked,Dhanbad,50,5,High
668,Streetlight Not Working,Streetlight issue,Dhanbad,53,1,High
669,Road Damage,Sadak kharab hai,Dhanbad,16,1,Low
670,Road Damage,Sadak kharab hai,Dhanbad,17,3,High
671,Garbage Dump,Overflowing garbage,Dhanbad,23,2,High
672,Illegal Parking,no parking followed,Hazaribagh,38,3,Medium
673,Noise Pollution,DJ loud hai,Bokaro,78,2,High
674,Public Toilet Issue,smelly toilet,Chaibasa,17,4,Medium
675,Water Leakage,pipe se pani nikal raha hai,Ranchi,24,1,High
676,Illegal Parking,no parking followed,Bokaro,28,5,High
677,Noise Pollution,high sound pollution,Deoghar,62,5,Medium
678,Noise Pollution,high sound pollution,Deoghar,94,3,Medium
679,Road Damage,Road damaged,Ranchi,82,5,Low
680,Road Damage,bad road condition,Ranchi,68,3,Medium
681,Public Toilet Issue,toilet band hai,Hazaribagh,50,2,Low
682,Road Damage,Road damaged,Chaibasa,18,3,Medium
683,Road Damage,road crack,Giridih,17,3,High
684,Streetlight Not Working,bulb kharab,Hazaribagh,58,0,High
685,Garbage Dump,Garbage not collected,Chaibasa,11,0,Low
686,Road Damage,bad road condition,Giridih,78,1,High
687,Water Leakage,Pipeline burst,Dhanbad,20,1,High
688,Public Toilet Issue,Toilet unclean,Dhanbad,36,5,Medium
689,Pothole,Big pothole on road,Chaibasa,58,3,High
690,Public Toilet Issue,Toilet unclean,Chaibasa,58,3,High
691,Electricity Outage,Power cut in area,Bokaro,79,5,High
692,Water Leakage,leakage of pani,Hazaribagh,4,5,High
693,Water Leakage,Water leakage near colony,Hazaribagh,20,5,High
694,Pothole,pothol road broken hai,Deoghar,11,2,High
695,Road Damage,Sadak kharab hai,Chaibasa,8,2,Medium
696,Illegal Parking,Cars parked illegally,Bokaro,67,1,High
697,Garbage Dump,ganda kachra near market,Hazaribagh,61,5,High
698,Noise Pollution,high sound pollution,Chaibasa,45,1,Medium
699,Electricity Outage,Power cut in area,Jamshedpur,24,0,High
700,Streetlight Not Working,Light not working,Giridih,78,3,Medium
701,Pothole,pothol road broken hai,Hazaribagh,81,1,High
702,Drainage Blockage,Drainage issue,Jamshedpur,98,0,High
703,Pothole,pothol road broken hai,Deoghar,22,1,High
704,Pothole,Road broken badly,Chaibasa,82,1,High
705,Drainage Blockage,Drainage issue,Ranchi,59,3,High
706,Pothole,pothol road broken hai,Deoghar,26,4,Medium
707,Drainage Blockage,dirty water overflow,Dhanbad,48,5,High
708,Electricity Outage,No electricity since morning,Ranchi,90,2,High
709,Public Toilet Issue,Public toilet problem,Hazaribagh,38,1,Low
710,Garbage Dump,ganda kachra near market,Ranchi,56,4,High
711,Public Toilet Issue,smelly toilet,Hazaribagh,93,4,Medium
712,Road Damage,Road damaged,Bokaro,86,1,High
713,Pothole,pothol road broken hai,Jamshedpur,39,0,High
714,Electricity Outage,Bijli chali gayi,Hazaribagh,2,4,High
715,Drainage Blockage,Drainage issue,Jamshedpur,98,3,High
716,Road Damage,road crack,Bokaro,65,0,High
717,Electricity Outage,Power cut in area,Dhanbad,73,1,High
718,Pothole,Big pothole on road,Chaibasa,16,0,Medium
719,Water Leakage,leakage of pani,Chaibasa,90,4,High
720,Road Damage,Road damaged,Dhanbad,10,3,Medium
721,Public Toilet Issue,toilet band hai,Chaibasa,39,5,Medium
722,Noise Pollution,DJ loud hai,Giridih,33,2,Low
723,Drainage Blockage,Drain blocked,Ranchi,58,3,High
724,Water Leakage,Pipeline burst,Dhanbad,36,2,High
725,Road Damage,bad road condition,Hazaribagh,83,0,High
726,Road Damage,Road damaged,Giridih,20,3,High
727,Illegal Parking,no parking followed,Bokaro,72,2,High
728,Noise Pollution,Noise disturbing area,Chaibasa,62,0,High
729,Illegal Parking,Blocking road,Jamshedpur,8,4,High
730,Streetlight Not Working,Street dark at night,Ranchi,17,4,High
731,Noise Pollution,DJ loud hai,Bokaro,73,3,Medium
732,Electricity Outage,Power cut in area,Deoghar,55,5,High
733,Water Leakage,Pipeline burst,Deoghar,37,0,High
734,Garbage Dump,ganda kachra near market,Bokaro,36,0,High
735,Illegal Parking,no parking followed,Giridih,51,3,Medium
736,Illegal Parking,illegal gaadi parking,Dhanbad,46,3,Medium
737,Garbage Dump,ganda kachra near market,Dhanbad,82,0,High
738,Water Leakage,pipe se pani nikal raha hai,Chaibasa,82,3,High
739,Public Toilet Issue,Public toilet problem,Bokaro,49,2,Medium
740,Streetlight Not Working,Streetlight issue,Hazaribagh,91,4,Low
741,Noise Pollution,Loud noise,Deoghar,61,5,High
742,Road Damage,Road damaged,Chaibasa,96,2,High
743,Garbage Dump,Overflowing garbage,Hazaribagh,87,5,Medium
744,Road Damage,bad road condition,Deoghar,60,4,High
745,Water Leakage,leakage of pani,Hazaribagh,4,5,High
746,Pothole,pothol road broken hai,Ranchi,84,2,High
747,Electricity Outage,No electricity since morning,Hazaribagh,32,1,High
748,Water Leakage,pipe se pani nikal raha hai,Dhanbad,75,5,High
749,Streetlight Not Working,bulb kharab,Ranchi,62,1,High
750,Water Leakage,Water leakage near colony,Giridih,63,3,High
751,Noise Pollution,Noise disturbing area,Ranchi,93,2,Medium
752,Illegal Parking,no parking followed,Chaibasa,60,2,High
753,Water Leakage,leakage of pani,Ranchi,67,3,High
754,Road Damage,road crack,Jamshedpur,87,0,Medium
755,Electricity Outage,Power cut in area,Hazaribagh,42,2,High
756,Streetlight Not Working,bulb kharab,Bokaro,93,5,High
757,Pothole,Big pothole on road,Jamshedpur,86,0,High
758,Drainage Blockage,Drainage issue,Hazaribagh,28,5,High
759,Noise Pollution,Loud noise,Jamshedpur,84,1,High
760,Noise Pollution,Noise disturbing area,Dhanbad,23,0,Medium
761,Public Toilet Issue,smelly toilet,Deoghar,35,3,High
762,Illegal Parking,illegal gaadi parking,Ranchi,49,2,Low
763,Public Toilet Issue,Public toilet problem,Giridih,25,4,High
764,Illegal Parking,Blocking road,Jamshedpur,27,4,Medium
765,Noise Pollution,Loud noise,Chaibasa,93,2,Medium
766,Pothole,Road broken badly,Hazaribagh,85,3,High
767,Road Damage,bad road condition,Chaibasa,90,3,High
768,Garbage Dump,ganda kachra near market,Ranchi,69,1,High
769,Noise Pollution,Noise disturbing area,Deoghar,68,2,High
770,Garbage Dump,Overflowing garbage,Deoghar,46,4,High
771,Streetlight Not Working,Streetlight issue,Ranchi,22,4,High
772,Garbage Dump,ganda kachra near market,Deoghar,80,5,Medium
773,Water Leakage,Water leakage near colony,Ranchi,4,1,High
774,Electricity Outage,Power cut in area,Chaibasa,63,4,High
775,Pothole,khadda on street,Bokaro,51,0,High
776,Noise Pollution,DJ loud hai,Ranchi,29,0,High
777,Noise Pollution,Loud noise,Dhanbad,5,1,High
778,Garbage Dump,Overflowing garbage,Dhanbad,58,4,High
779,Noise Pollution,high sound pollution,Bokaro,28,0,Medium
780,Illegal Parking,illegal gaadi parking,Dhanbad,41,0,Low
781,Noise Pollution,Loud noise,Jamshedpur,22,2,Medium
782,Drainage Blockage,Nali jam hai,Chaibasa,70,1,High
783,Noise Pollution,high sound pollution,Ranchi,48,1,High
784,Noise Pollution,DJ loud hai,Chaibasa,36,3,High
785,Illegal Parking,no parking followed,Ranchi,30,1,Low
786,Electricity Outage,Bijli chali gayi,Ranchi,44,3,High
787,Noise Pollution,high sound pollution,Bokaro,46,4,Medium
788,Streetlight Not Working,Streetlight issue,Chaibasa,14,1,High
789,Drainage Blockage,Drainage issue,Giridih,36,1,High
790,Pothole,Road broken badly,Ranchi,13,5,High
791,Garbage Dump,Garbage not collected,Chaibasa,30,5,Medium
